Rua:  ; Origem: 251119059 ; Destino: 1102571559 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 371164943 ; Destino: 5351562620 ; Oneway: False ; Highway: secondary
Rua: Rua José Augusto Vaz ; Origem: 371164976 ; Destino: 1113007327 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 371164976 ; Destino: 2370738111 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371164976 ; Destino: 1113007615 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371164978 ; Destino: 2370738106 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 371165088 ; Destino: 1102571325 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 371165088 ; Destino: 1737125075 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 371165088 ; Destino: 1102571429 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 371165092 ; Destino: 1737125006 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 371165092 ; Destino: 371164832 ; Oneway: False ; Highway: secondary
Rua: Autoestrada do Alentejo Central (2) ; Origem: 371509330 ; Destino: 371509433 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (3) ; Origem: 371509433 ; Destino: 10679565221 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (4) ; Origem: 371509433 ; Destino: 10679565240 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (5) ; Origem: 371518619 ; Destino: 1135862641 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 371518619 ; Destino: 1135862640 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 371518694 ; Destino: 2392844702 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 371518694 ; Destino: 1135862761 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 371518801 ; Destino: 371518808 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518801 ; Destino: 1184702722 ; Oneway: True ; Highway: tertiary_link
Rua:  ; Origem: 371518808 ; Destino: 371518814 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518808 ; Destino: 371518801 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518808 ; Destino: 1975581430 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 371518814 ; Destino: 371518808 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518814 ; Destino: 371518827 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518827 ; Destino: 1187956699 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518827 ; Destino: 371518814 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371518827 ; Destino: 10797100398 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 371519085 ; Destino: 11375690285 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 371519085 ; Destino: 1605666690 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 371521712 ; Destino: 562914250 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 371521712 ; Destino: 562914192 ; Oneway: False ; Highway: secondary
Rua: Rui de Melo ; Origem: 371521712 ; Destino: 5118953646 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 371521712 ; Destino: 10605807996 ; Oneway: False ; Highway: secondary
Rua: ER 246 ; Origem: 371521814 ; Destino: 562914225 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 371521814 ; Destino: 1756429090 ; Oneway: True ; Highway: residential
Rua: ER 246 (2) ; Origem: 371521829 ; Destino: 371521814 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 375781420 ; Destino: 375781428 ; Oneway: False ; Highway: residential
Rua: Estrada de Monforte ; Origem: 375781420 ; Destino: 9216384334 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 375781420 ; Destino: 11401402653 ; Oneway: False ; Highway: tertiary
Rua:  ; Origem: 375781428 ; Destino: 375781420 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 375781428 ; Destino: 375781498 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 375781428 ; Destino: 9216384333 ; Oneway: False ; Highway: residential
Rua: Ponte romana de Barbacena ; Origem: 375781498 ; Destino: 6321507965 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 375781498 ; Destino: 6321507965 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 375781498 ; Destino: 375781428 ; Oneway: False ; Highway: unclassified
Rua: Rua Alfredo de Andrade ; Origem: 375789040 ; Destino: 9216384345 ; Oneway: False ; Highway: residential
Rua: Largo do Castelo ; Origem: 375789040 ; Destino: 1113007914 ; Oneway: False ; Highway: secondary
Rua: Largo do Castelo (2) ; Origem: 375789040 ; Destino: 1113007970 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 375789086 ; Destino: 1737777444 ; Oneway: True ; Highway: secondary_link
Rua:  ; Origem: 375789086 ; Destino: 6357833786 ; Oneway: False ; Highway: secondary
Rua: Largo José da Silva Picão ; Origem: 375789105 ; Destino: 562920898 ; Oneway: False ; Highway: secondary
Rua: Avenida Capitão Vaz Moreira ; Origem: 375789105 ; Destino: 1112492304 ; Oneway: False ; Highway: secondary
Rua: Avenida Augusto de Andrade ; Origem: 375789105 ; Destino: 1112492375 ; Oneway: False ; Highway: residential
Rua: Rua da Boavista ; Origem: 375789107 ; Destino: 1112492431 ; Oneway: False ; Highway: residential
Rua: Avenida Capitão Vaz Moreira (2) ; Origem: 375789107 ; Destino: 1112492423 ; Oneway: False ; Highway: secondary
Rua: Avenida Capitão Vaz Moreira (3) ; Origem: 375789107 ; Destino: 10188269552 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 375789227 ; Destino: 1618722405 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 375789227 ; Destino: 4009289968 ; Oneway: True ; Highway: secondary_link
Rua:  ; Origem: 375789252 ; Destino: 4009289962 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 375790735 ; Destino: 4009289939 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 375790735 ; Destino: 4009289901 ; Oneway: True ; Highway: secondary_link
Rua:  ; Origem: 537640623 ; Destino: 1503398590 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 537640623 ; Destino: 4069381804 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 537640623 ; Destino: 1503398433 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 537640623 ; Destino: 3545407141 ; Oneway: False ; Highway: unclassified
Rua: Rua da França ; Origem: 562900870 ; Destino: 1138177044 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 562900870 ; Destino: 1138152516 ; Oneway: False ; Highway: residential
Rua: Rua da França (2) ; Origem: 562900870 ; Destino: 562900876 ; Oneway: False ; Highway: unclassified
Rua: Estrada das Fontainhas ; Origem: 562900876 ; Destino: 1756429957 ; Oneway: False ; Highway: residential
Rua: Estrada das Fontainhas (2) ; Origem: 562900876 ; Destino: 1138152549 ; Oneway: False ; Highway: residential
Rua: Rua da França (3) ; Origem: 562900876 ; Destino: 562900870 ; Oneway: False ; Highway: unclassified
Rua: Estrada das Fontainhas (3) ; Origem: 562900892 ; Destino: 10723729492 ; Oneway: False ; Highway: residential
Rua: Estrada das Fontainhas (4) ; Origem: 562900892 ; Destino: 562902827 ; Oneway: False ; Highway: residential
Rua: Rua de Portugal ; Origem: 562900892 ; Destino: 1239026801 ; Oneway: False ; Highway: residential
Rua: Estrada das Fontainhas (5) ; Origem: 562902827 ; Destino: 562900892 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 562902827 ; Destino: 9666105466 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 562902838 ; Destino: 562902882 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902838 ; Destino: 1102719031 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902882 ; Destino: 562902894 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902894 ; Destino: 562902905 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902894 ; Destino: 562902944 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902905 ; Destino: 562902916 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902916 ; Destino: 9666105466 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562902916 ; Destino: 562902827 ; Oneway: True ; Highway: residential
Rua: Avenida da Europa ; Origem: 562902944 ; Destino: 1756430001 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 562902944 ; Destino: 562902905 ; Oneway: True ; Highway: primary
Rua: Avenida da Europa (2) ; Origem: 562904560 ; Destino: 1756430001 ; Oneway: False ; Highway: primary
Rua: Avenida da Europa (3) ; Origem: 562904560 ; Destino: 1756428888 ; Oneway: False ; Highway: primary
Rua: Rua de Itália ; Origem: 562904560 ; Destino: 1239026929 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 562907820 ; Destino: 1175542187 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562907846 ; Destino: 10563521716 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 562907846 ; Destino: 1175543318 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562907862 ; Destino: 10563521716 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 562907862 ; Destino: 1756491412 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 562907862 ; Destino: 1693952902 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 562907875 ; Destino: 1737123835 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 562907875 ; Destino: 1756491412 ; Oneway: False ; Highway: primary
Rua: Avenida de Badajoz ; Origem: 562911107 ; Destino: 1175542449 ; Oneway: True ; Highway: primary
Rua: Avenida. António Sardinha ; Origem: 562911354 ; Destino: 1187957922 ; Oneway: False ; Highway: secondary
Rua: Avenida. António Sardinha (2) ; Origem: 562911354 ; Destino: 1177090025 ; Oneway: False ; Highway: secondary
Rua: Praça Dom Sancho II ; Origem: 562911354 ; Destino: 1187957641 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 562914192 ; Destino: 562914250 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 562914192 ; Destino: 371521712 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 562914225 ; Destino: 562914257 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 562914250 ; Destino: 1756429242 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 562914250 ; Destino: 371521712 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 562914255 ; Destino: 562914192 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 562914257 ; Destino: 562914255 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 562914257 ; Destino: 1756429083 ; Oneway: True ; Highway: secondary
Rua: Largo José da Silva Picão (2) ; Origem: 562920898 ; Destino: 562920915 ; Oneway: False ; Highway: secondary
Rua: Largo José da Silva Picão (3) ; Origem: 562920898 ; Destino: 375789105 ; Oneway: False ; Highway: secondary
Rua: Rua José da Silva Picão ; Origem: 562920898 ; Destino: 1112492468 ; Oneway: False ; Highway: residential
Rua: Largo José da Silva Picão (4) ; Origem: 562920915 ; Destino: 562920898 ; Oneway: False ; Highway: secondary
Rua: Rua do Ribeirinho ; Origem: 562920915 ; Destino: 1712465236 ; Oneway: False ; Highway: residential
Rua: Rua do Picadeiro ; Origem: 562920915 ; Destino: 9872542780 ; Oneway: False ; Highway: secondary
Rua: Largo Manuel Rodrigues Carpinteiro ; Origem: 562920972 ; Destino: 10187359795 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 562920972 ; Destino: 1112492433 ; Oneway: False ; Highway: residential
Rua: Rua do Picadeiro (2) ; Origem: 562920972 ; Destino: 1112492476 ; Oneway: False ; Highway: secondary
Rua: Avenida Coronel Passos e Sousa ; Origem: 562920972 ; Destino: 1112492219 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 981219230 ; Destino: 981219235 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219235 ; Destino: 4411568231 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219235 ; Destino: 981219242 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219242 ; Destino: 981219283 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219255 ; Destino: 981219499 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219255 ; Destino: 981219524 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219283 ; Destino: 981220194 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219283 ; Destino: 981220862 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 981219499 ; Destino: 981219230 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219524 ; Destino: 1135889904 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219563 ; Destino: 981219524 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219563 ; Destino: 981219499 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981219672 ; Destino: 981220194 ; Oneway: True ; Highway: motorway_link
Rua: Autoestrada do Alentejo Central (6) ; Origem: 981219672 ; Destino: 981220862 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (7) ; Origem: 981220125 ; Destino: 981219238 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 981220194 ; Destino: 981219255 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 981220463 ; Destino: 981219563 ; Oneway: True ; Highway: unclassified
Rua: Autoestrada do Alentejo Central (8) ; Origem: 981220822 ; Destino: 981220125 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 981220822 ; Destino: 981220463 ; Oneway: True ; Highway: motorway_link, unclassified
Rua:  ; Origem: 981220854 ; Destino: 981220072 ; Oneway: True ; Highway: motorway_link
Rua: Autoestrada do Alentejo Central (9) ; Origem: 981220854 ; Destino: 981219672 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (10) ; Origem: 981220862 ; Destino: 371518619 ; Oneway: True ; Highway: motorway
Rua: Rua João Franco do Vale ; Origem: 1043570067 ; Destino: 1175542269 ; Oneway: True ; Highway: primary
Rua: Rua João Franco do Vale (2) ; Origem: 1043570067 ; Destino: 1176961124 ; Oneway: False ; Highway: primary
Rua: Rua de Gil Fernandes ; Origem: 1043570112 ; Destino: 1177089024 ; Oneway: False ; Highway: residential
Rua: Rua João Franco do Vale (3) ; Origem: 1043570112 ; Destino: 1176961124 ; Oneway: False ; Highway: primary
Rua: Rua João Franco do Vale (4) ; Origem: 1043570112 ; Destino: 1176961714 ; Oneway: False ; Highway: primary
Rua: Rua António José Torres de Carvalho ; Origem: 1043570121 ; Destino: 3545931769 ; Oneway: False ; Highway: residential
Rua: Rua dos Bombeiros Voluntáriosa de Elvas ; Origem: 1043570121 ; Destino: 1176961890 ; Oneway: False ; Highway: primary
Rua: Rua dos Bombeiros Voluntáriosa de Elvas (2) ; Origem: 1043570121 ; Destino: 1176961664 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 1043570129 ; Destino: 1177089927 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 1043570129 ; Destino: 1177089165 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1102571325 ; Destino: 1737125153 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 1102571357 ; Destino: 1737125023 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571357 ; Destino: 1102571397 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 1102571357 ; Destino: 1102571434 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571373 ; Destino: 1102571357 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571373 ; Destino: 1102571397 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571397 ; Destino: 1102571463 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 1102571429 ; Destino: 1102571519 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571434 ; Destino: 1102571513 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571463 ; Destino: 1102571429 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571463 ; Destino: 371165088 ; Oneway: True ; Highway: secondary
Rua: Autoestrada do Alentejo Central (11) ; Origem: 1102571513 ; Destino: 1113820005 ; Oneway: True ; Highway: motorway
Rua: Autoestrada do Alentejo Central (12) ; Origem: 1102571519 ; Destino: 1113775593 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 1102571559 ; Destino: 1102571325 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571559 ; Destino: 371165088 ; Oneway: True ; Highway: motorway_link
Rua:  ; Origem: 1102571569 ; Destino: 1102571373 ; Oneway: True ; Highway: motorway_link
Rua: Autoestrada do Alentejo Central (13) ; Origem: 1102571569 ; Destino: 1102571513 ; Oneway: True ; Highway: motorway
Rua:  ; Origem: 1102719031 ; Destino: 10723733031 ; Oneway: False ; Highway: primary
Rua:  ; Origem: 1102719031 ; Destino: 562902882 ; Oneway: True ; Highway: primary
Rua:  ; Origem: 1112492214 ; Destino: 1112492317 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Pinheiro ; Origem: 1112492219 ; Destino: 1112492303 ; Oneway: False ; Highway: residential
Rua: Avenida Coronel Passos e Sousa (2) ; Origem: 1112492219 ; Destino: 1694610016 ; Oneway: False ; Highway: secondary
Rua: Avenida Coronel Passos e Sousa (3) ; Origem: 1112492219 ; Destino: 562920972 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 1112492220 ; Destino: 1112492304 ; Oneway: False ; Highway: residential
Rua: Rua Sebastião Tenório ; Origem: 1112492220 ; Destino: 1112492438 ; Oneway: False ; Highway: residential
Rua: Rua Sebastião Tenório (2) ; Origem: 1112492220 ; Destino: 1112492436 ; Oneway: False ; Highway: residential
Rua: Rua do Padre Tinoco ; Origem: 1112492229 ; Destino: 1112492328 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril ; Origem: 1112492229 ; Destino: 1112492468 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril (2) ; Origem: 1112492229 ; Destino: 1112492291 ; Oneway: False ; Highway: residential
Rua: Rua do Baptista ; Origem: 1112492229 ; Destino: 1112492392 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492232 ; Destino: 1112492366 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 1112492232 ; Destino: 4009289959 ; Oneway: True ; Highway: secondary
Rua: Terreiro do João da Rosa ; Origem: 1112492236 ; Destino: 1112492373 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Teotónio Pereira ; Origem: 1112492236 ; Destino: 10187417802 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Teotónio Pereira (2) ; Origem: 1112492236 ; Destino: 1112492335 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492240 ; Destino: 9872542109 ; Oneway: False ; Highway: residential
Rua: Rua do Boqueirão ; Origem: 1112492240 ; Destino: 1112492242 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492240 ; Destino: 10187417795 ; Oneway: False ; Highway: residential
Rua: Rua da Cancela ; Origem: 1112492242 ; Destino: 1112492395 ; Oneway: False ; Highway: residential
Rua: Rua do Boqueirão (2) ; Origem: 1112492242 ; Destino: 1112492415 ; Oneway: False ; Highway: residential
Rua: Rua do Boqueirão (3) ; Origem: 1112492242 ; Destino: 1112492240 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492248 ; Destino: 10204148976 ; Oneway: False ; Highway: residential
Rua: Rua do Padre Tinoco (2) ; Origem: 1112492248 ; Destino: 1112492441 ; Oneway: False ; Highway: residential
Rua: Rua do Padre Tinoco (3) ; Origem: 1112492248 ; Destino: 1112492461 ; Oneway: False ; Highway: residential
Rua: Largo Francisco Tello Rasquilha ; Origem: 1112492254 ; Destino: 1112492291 ; Oneway: False ; Highway: residential
Rua: Rua das Três Casas ; Origem: 1112492254 ; Destino: 1112492385 ; Oneway: False ; Highway: residential
Rua: Rua Canto do Açougue ; Origem: 1112492254 ; Destino: 1112492263 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492263 ; Destino: 1112492281 ; Oneway: False ; Highway: residential
Rua: Rua Canto do Açougue (2) ; Origem: 1112492263 ; Destino: 1112492254 ; Oneway: False ; Highway: residential
Rua: Rua da Cancela (2) ; Origem: 1112492263 ; Destino: 1112492395 ; Oneway: False ; Highway: residential
Rua: Praça Capitão Carpinteiro ; Origem: 1112492266 ; Destino: 10189487883 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril (3) ; Origem: 1112492266 ; Destino: 1112492297 ; Oneway: False ; Highway: residential
Rua: Praça Capitão Carpinteiro (2) ; Origem: 1112492266 ; Destino: 10186578709 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Pinheiro (2) ; Origem: 1112492267 ; Destino: 1112492303 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492267 ; Destino: 1112492459 ; Oneway: False ; Highway: residential
Rua: Rua Padre António Pereira ; Origem: 1112492267 ; Destino: 1112492403 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492272 ; Destino: 1112492403 ; Oneway: False ; Highway: residential
Rua: Avenida José António Rondão Almeida ; Origem: 1112492272 ; Destino: 1112492388 ; Oneway: False ; Highway: residential
Rua: Avenida José António Rondão Almeida (2) ; Origem: 1112492272 ; Destino: 1112492303 ; Oneway: False ; Highway: residential
Rua: Rua dos Combatentes da Grande Guerra ; Origem: 1112492280 ; Destino: 1989676188 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492280 ; Destino: 10187359794 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492280 ; Destino: 10187359795 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492281 ; Destino: 1112492452 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492281 ; Destino: 1112492263 ; Oneway: False ; Highway: residential
Rua: Rua do Castelo ; Origem: 1112492281 ; Destino: 1112492473 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Ruy de Andrade ; Origem: 1112492287 ; Destino: 1112492431 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492289 ; Destino: 10189487883 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Fernandes de Carvalho ; Origem: 1112492289 ; Destino: 1112492373 ; Oneway: False ; Highway: residential
Rua: Rua do Padre Mendes ; Origem: 1112492289 ; Destino: 1112492461 ; Oneway: False ; Highway: residential
Rua: Largo Francisco Tello Rasquilha (2) ; Origem: 1112492291 ; Destino: 1112492254 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril (4) ; Origem: 1112492291 ; Destino: 1112492229 ; Oneway: False ; Highway: residential
Rua: Largo Francisco Tello Rasquilha (3) ; Origem: 1112492291 ; Destino: 1112492401 ; Oneway: False ; Highway: residential
Rua: Rua Padre António Pereira (2) ; Origem: 1112492295 ; Destino: 1112492483 ; Oneway: False ; Highway: residential
Rua: Rua Padre António Pereira (3) ; Origem: 1112492295 ; Destino: 1112492403 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492295 ; Destino: 1112492377 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril (5) ; Origem: 1112492297 ; Destino: 1112492468 ; Oneway: False ; Highway: residential
Rua: Rua dos Cantos ; Origem: 1112492297 ; Destino: 1112492441 ; Oneway: False ; Highway: residential
Rua: Rua 25 de Abril (6) ; Origem: 1112492297 ; Destino: 1112492266 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 1112492298 ; Destino: 1112492388 ; Oneway: False ; Highway: residential
Rua: Rua Doutor Manuel Pinheiro (3) ; Origem: 1112492303 ; Destino: 1112492267 ; Oneway: False ; Highway: residential
Rua: Avenida José António Rondão Almeida (3) ; Origem: 1112492303 ; Destino: 1112492272 ; Oneway: False ; Highway: residential
